0,1,2,3,label
157.88486883003856,175.127562642369,17.242693812330458,0.49090576171875,normal
148.7929188580015,173.71827057182705,24.925351713825535,0.64990234375,normal
151.15339425587467,187.6571190211346,36.50372476525993,0.56103515625,normal
149.0272354184803,186.8592832314515,37.83204781297121,0.49078369140625,normal
149.15689957425494,190.00023815194095,40.84333857768601,0.4874267578125,normal
149.62552465897167,192.15627853881278,42.530753879841114,0.46533203125,normal
147.82574607991907,191.20033034450213,43.37458426458306,0.482666015625,normal
146.380346290563,191.97755448257863,45.597208192015614,0.53228759765625,normal
141.5488679668236,193.21844009648888,51.66957212966528,0.5445556640625,normal
144.21540299804477,195.80314850933408,51.58774551128931,0.5618896484375,normal
154.4095749975117,171.8693388038504,17.459763806338714,0.61322021484375,normal
160.90443115878318,185.61736526946106,24.712934110677878,0.6942138671875,normal
159.1633046122656,177.4896456511735,18.326341038907913,0.60211181640625,normal
159.6500643628082,181.0340493237868,21.38398496097861,0.61639404296875,normal
161.20515695067263,191.2426056338028,30.03744868313018,0.6533203125,normal
162.5017563846957,187.58913006323706,25.087373678541354,0.64288330078125,normal
159.79444705882352,186.58812293801006,26.793675879186537,0.64849853515625,normal
153.99376279115097,186.1801404540258,32.18637766287483,0.62628173828125,normal
161.41190836143738,173.23994861913937,11.828040257701986,0.52484130859375,normal
140.62144644075505,162.34426877470355,21.7228223339485,0.5367431640625,normal
164.16399048468628,210.9543383723338,46.79034788764753,0.4105224609375,normal
164.16399048468628,210.9543383723338,46.79034788764753,0.4105224609375,normal
161.68651407361583,211.99616858237547,50.30965450875965,0.3946533203125,normal
160.96125907990316,213.99611292962356,53.034853849720406,0.4033203125,normal
156.21291624621594,215.2533079284429,59.040391682226954,0.42340087890625,normal
151.3647715586896,217.88086039469562,66.51608883600602,0.41546630859375,normal
166.50006339546087,176.16817700364834,9.668113608187468,0.48138427734375,normal
186.37674247982392,203.9089416058394,17.532199126015485,0.66552734375,normal
162.63107371415026,173.9825069217216,11.351433207571347,0.5150146484375,normal
145.2376738305942,166.1303831624393,20.89270933184511,0.43450927734375,normal
151.7013040950245,184.86766398158804,33.16635988656353,0.73480224609375,normal
154.04453592814372,188.54143258426967,34.496896656125955,0.65234375,normal
169.03578130864506,200.44047193421522,31.40469062557017,0.48785400390625,normal
169.9340524303659,200.8687637969095,30.93471136654358,0.447021484375,normal
73.25226860254084,189.49699993684078,116.24473133429994,0.03363037109375,normal
160.5918600849951,201.25384765244496,40.66198756744987,0.3734130859375,normal
164.5074114526447,209.30526315789473,44.797851705250025,0.39117431640625,normal
135.27425069424496,151.48173708129946,16.2074863870545,0.63739013671875,normal
135.89712764981186,156.273920174959,20.376792525147124,0.66510009765625,normal
151.66624003150537,188.3579572828007,36.69171725129533,0.61993408203125,normal
150.6637982789674,187.58638497652584,36.922586697558444,0.6099853515625,normal
140.6554601226994,179.0106873937333,38.3552272710339,0.4974365234375,normal
142.7287941311325,184.28603133159268,41.55723720046018,0.532470703125,normal
140.550921635259,180.01588490933614,39.46496327407715,0.59271240234375,normal
138.1876691148048,176.70924453280318,38.52157541799838,0.631591796875,normal
139.21559594605912,181.33543307086615,42.11983712480702,0.72869873046875,normal
137.49461761677432,174.83616909314156,37.34155147636724,0.65203857421875,normal
140.58157243479917,165.56345695814903,24.981884523349862,0.6412353515625,normal
145.2285370741483,173.28882067024816,28.06028359609985,0.76141357421875,normal
146.64806273062732,176.34722222222223,29.699159491594912,0.66162109375,normal
147.1307615230461,182.18722673329168,35.05646521024559,0.609130859375,normal
150.60413885180242,184.0383991346674,33.43426028286498,0.548583984375,normal
148.25963054742058,183.88888888888889,35.6292583414683,0.5418701171875,normal
147.69369467817725,184.69818885662934,37.00449417845209,0.55853271484375,normal
147.92071695623488,186.24128943758575,38.320572481350865,0.5550537109375,normal
191.22795656072532,203.01386481802427,11.785908257298956,0.61260986328125,normal
182.79636730575177,195.23138708680878,12.435019781057008,0.6048583984375,normal
147.447631607869,179.61153054221,32.163898934341006,0.55535888671875,normal
135.95118087557603,191.2604872881356,55.30930641255958,0.423828125,normal
118.65222791492005,177.28200744242181,58.62977952750177,0.39312744140625,normal
164.92419394536057,175.7234197142165,10.799225768855933,0.4959716796875,normal
